Feature,Importance
StockOptionLevel,0.15793391932041118
OverTime_Yes,0.1272664194618211
MaritalStatus_Single,0.062199256634888574
JobInvolvement,0.06072248782591845
RelationshipSatisfaction,0.055062802970867145
MonthlyIncome,0.0534580406612449
JobRole_Sales Executive,0.04259757596442747
JobSatisfaction,0.03838806668184304
JobLevel,0.03829889237619169
DailyRate,0.028701165672313643
YearsInCurrentRole,0.028282746642987532
Age,0.028183016034789666
EnvironmentSatisfaction,0.02776969262484692
TotalWorkingYears,0.024677583469835836
DistanceFromHome,0.02264027477877184
MonthlyRate,0.02103663161454051
WorkLifeBalance,0.01890275394815499
YearsSinceLastPromotion,0.016314695653143023
TrainingTimesLastYear,0.01615587772699473
YearsAtCompany,0.015315164445104897
NumCompaniesWorked,0.015151781577350868
HourlyRate,0.014921084842169604
YearsWithCurrManager,0.013745538260950976
Education,0.012171066141971556
PercentSalaryHike,0.009379835622111638
BusinessTravel_Travel_Frequently,0.007699387981747929
JobRole_Manufacturing Director,0.00736420903753012
JobRole_Laboratory Technician,0.005332271211372655
BusinessTravel_Travel_Rarely,0.004757914531691697
EducationField_Life Sciences,0.0037905200158843515
JobRole_Research Director,0.0031683890103504113
EducationField_Other,0.0030878670783252896
Department_Sales,0.0026862541019035523
JobRole_Sales Representative,0.002433730255546317
JobRole_Research Scientist,0.0023914485423150488
Department_Research & Development,0.0016510075255918458
EducationField_Medical,0.0015814409901606867
Gender_Male,0.0015445429864162257
EducationField_Technical Degree,0.0009896110649134922
PerformanceRating,0.0007896191441965518
JobRole_Human Resources,0.0006961735675070299
MaritalStatus_Married,0.0006151011574447206
EducationField_Marketing,0.00014363534642265047
JobRole_Manager,5.054970275891362e-07
